P01316903A1040|0 17|RNA polymerase II
P01400217T0000|62 65|ene
P00027739T0000|62 65|ase
P01333047A0404|62 65|gro
P00420460A0291|62 65|ase
P01339391A0000|62 65|din
P00807356T0001|62 65|cin
P00131739T0001|62 65|tan
P00034935A0545|62 65|ide
P01035457A0623|62 65|nce
P01429836A0457|62 65|tic
P00264240A1843|62 65|gen
P00693987T0001|62 65|min
P00321261A0104|62 65|din
P01427457A0000|62 65|fic
P01318310A0000|62 65|tor
P01371863A0000|62 65|gen
P00473229T0000|62 65|ene
P00956554A0414|62 65|ase
P01316903A0296|62 64|IA
P01333047A0404|63 75|rowth factor
P01467828A0542|63 74|oid peptide
P01330309A1134|63 69|rotein
P00342623A0228|63 69|ntigen
P00962277T0000|63 67|tive
P01452584T0000|63 67|ound
P01331292A1425|63 67|tide
P01333035T0000|63 67|unit
P00725752T0001|63 67|beta
P01168908A0000|63 67|rter
P01406656A1075|63 67|gene
P01309593A0095|63 67|ctor
P01331086T0000|63 66|nit
P01318739A0410|63 66|ide
P01371863A0000|63 66|ene
P01435698A0000|63 66|ein
P01329039A0951|63 66|nce
P01228258A0000|63 66|gen
P00225352T0000|63 66|min
P00930947A0629|63 66|ene
P01406656A1075|63 66|gen
P00528144T0000|63 66|lls
P00264240A1843|63 66|ene
P00681550A0000|63 66|tor
P00743335T0001|63 66|tic
P00369683T0000|63 66|ule
P01209618A0409|63 66|cin
P01431809T0000|63 66|rin
P00331936T0000|63 66|ase
P00646023T0058|63 66|mis
P01140184A0342|63 66|ide
P01467828A0542|64 74|id peptide
P00100540T0000|64 73|oxygenase
P00383169A0000|64 72|receptor
P01315706A0000|64 71|protein
P00431832T0001|64 71|blocker
P00725534A0888|64 71|antigen
P01452037A0000|64 70|genase
P01328197A0985|64 70|system
P01242636A0678|64 70|system
P01330309A1134|64 69|otein
P00342623A0228|64 69|tigen
P01436261A0145|64 68|tide
P00172199A0270|64 68|olog
P01452037A0000|64 67|gen
P00463973A0000|64 67|ter
P01376319T0000|64 67|pha
P00336547A0000|64 67|ter
P01309593A0095|64 67|tor
P01316680A0643|64 67|min
P01328884T0000|64 67|ule
P00377466A0188|64 67|tin
P01168908A0000|64 67|ter
P01256410T0001|64 67|ter
P00747722A0486|64 67|ase
P01406656A1075|64 67|ene
P00304310A0000|64 67|tin
P01019207A0232|64 67|nce
P01331292A1425|64 67|ide
P01357528A0084|64 67|ter
P01333035T0000|64 67|nit
P01320640A0336|64 67|ase
P00583522T0001|64 67|mma
P00725752T0001|64 67|eta
P00377466A0188|65 76|ing hormone
P00089778A0000|65 76|plasminogen
P01333047A0404|65 75|wth factor
P01467828A0542|65 74|d peptide
P00383169A0000|65 72|eceptor
P01457380A0000|65 72|protein
P01150658A0683|65 72|hormone
P00089778A0000|65 72|plasmin
P01315706A0000|65 71|rotein
P00216939T0001|65 71|genase
P00606849T0000|65 71|rabbit
P00725534A0888|65 71|ntigen
P01452037A0000|65 70|enase
P01330309A1134|65 69|tein
P01353478T0000|65 69|cell
P00911590T0000|65 69|opin
P01438287T0000|65 69|gene
P01408090A0572|65 69|rter
P00342623A0228|65 69|igen
P00970320A0000|65 68|tor
P00557559A0170|65 68|nit
P01301171A0979|65 68|nce
P00198510T0000|65 68|tor
P00139827A0000|65 68|ter
P01357190A0726|65 68|ain
P01354506T0000|65 68|tan
P01438287T0000|65 68|gen
P00172199A0270|65 68|log
P00034935A0545|65 68|nce
P01174873T0000|65 68|ase
P01436261A0145|65 68|ide
P00216939T0001|65 68|gen
P00303189A0247|65 68|mis
P01333047A0404|66 75|th factor
P00100540T0000|66 73|ygenase
P00383169A0000|66 72|ceptor
P01457380A0000|66 72|rotein
P01310935T0000|66 72|enzyme
P01315706A0000|66 71|otein
P00216939T0001|66 71|enase
P00027967A0207|66 71|onset
P00725534A0888|66 71|tigen
P01452037A0000|66 70|nase
P00639410T0000|66 70|agen
P00974901A0080|66 70|cell
P01448917A0775|66 70|form
P01358592A0752|66 70|cell
P01261005A0711|66 70|form
P01364100A0377|66 70|unit
P01330309A1134|66 69|ein
P00342623A0228|66 69|gen
P00015731A0090|66 69|tor
P00984209A0614|66 69|gro
P00656008T0000|66 69|ase
P01150658A0683|66 69|orm
P01438287T0000|66 69|ene
P01398068A0948|66 69|p53
P00970488A0105|66 69|tor
P00240518A0000|66 69|ide
P01280807A0575|66 69|nit
P01408090A0572|66 69|ter
P01130186A0568|66 69|ase
P00681571T0028|66 69|rin
P01398073A0986|66 68|II
P01467828A0542|67 74|peptide
P01370281A0461|67 74|protein
P01372900A1017|67 74|t alpha
P00100540T0000|67 73|genase
P00383169A0000|67 72|eptor
P01457380A0000|67 72|otein
P01420363A0818|67 72|c-Jun
P01315706A0000|67 71|tein
P01431809T0000|67 71|gene
P00027967A0207|67 71|nset
P00216939T0001|67 71|nase
P00725534A0888|67 71|igen
P01452037A0000|67 70|ase
P00100540T0000|67 70|gen
P01473196A1016|67 70|nce
P01431809T0000|67 70|gen
P01261005A0711|67 70|orm
P00183063A0300|67 70|can
P01206772T0000|67 70|can
P01371275T0000|67 70|ase
P01364100A0377|67 70|nit
P00847967T0000|67 70|cin
P01321336A0000|67 70|nce
P01408474A0531|67 70|ter
P00639410T0000|67 70|gen
P01448917A0775|67 70|orm
P01398068A0948|67 69|53
P01376319T0000|68 78|e receptor
P00725752T0001|68 76|receptor
P01447189A1546|68 76|activity
P00089778A0000|68 76|sminogen
P00139624A0318|68 75|plasmin
P01333317A1008|68 75|protein
P01467828A0542|68 74|eptide
P01370281A0461|68 74|rotein
P00100540T0000|68 73|enase
P00321261A0104|68 73|alpha
P00383169A0000|68 72|ptor
P00984209A0614|68 72|ound
P01386897A0000|68 72|form
P01457380A0000|68 72|tein
P00866577A0579|68 72|agen
P01310935T0000|68 72|zyme
P00974901A0080|68 71|lls
P01315706A0000|68 71|ein
P00432615A0541|68 71|ter
P00725534A0888|68 71|gen
P00932817A0499|68 71|oll
P01354506T0000|68 71|din
P00910823A0196|68 71|ase
P01431809T0000|68 71|ene
P00216939T0001|68 71|ase
P00336547A0000|68 71|ide
P01243628A0286|69 79|hemoglobin
P00377466A0188|69 76|hormone
P00725752T0001|69 76|eceptor
P01320640A0336|69 76|insulin
P01333047A0404|69 75|factor
P01333317A1008|69 75|rotein
P01467828A0542|69 74|ptide
P00378492A0475|69 74|group
P01372900A1017|69 74|alpha
P01370281A0461|69 74|otein
P00100540T0000|69 73|nase
P01375224A0152|69 73|form
P00437749A0242|69 73|olog
P00321261A0104|69 73|lpha
P00383169A0000|69 72|tor
P00183063A0300|69 72|nce
P00603783A0647|69 72|din
P01044338A0240|69 72|tin
P01392277A0000|69 72|ter
P00378492A0475|69 72|gro
P00866577A0579|69 72|gen
P01457380A0000|69 72|ein
P01386897A0000|69 72|orm
P01186344A0303|69 72|ter
P00089778A0000|69 72|min
P00227393T0000|70 86|cytochrome P-450
P01376319T0000|70 78|receptor
P01398073A0986|70 77|protein
P01398068A0948|70 77|protein
P00725752T0001|70 76|ceptor
P01320640A0336|70 76|nsulin
P00089778A0000|70 76|inogen
P01333047A0404|70 75|actor
P01374392A0341|70 75|NHE-2
P00465223A0373|70 75|delta
P01333317A1008|70 75|otein
P00557559A0170|70 74|ne 1
P01327758A0000|70 74|gene
P01331086T0000|70 74|gene
P01140184A0342|70 74|rase
P01467828A0542|70 74|tide
P01372900A1017|70 74|lpha
P01370281A0461|70 74|tein
P00377466A0188|70 73|orm
P00159600A0871|70 73|lia
P01331086T0000|70 73|gen
P01241588A1470|70 73|ain
P01375224A0152|70 73|orm
P00437749A0242|70 73|log
P00222102A0227|70 73|min
P01327758A0000|70 73|gen
P00100540T0000|70 73|ase
P00321261A0104|70 73|pha
P01119586A0337|70 73|pha
P01376319T0000|71 78|eceptor
P00986925A0002|71 78|gastrin
P01398104A0834|71 78|protein
P01325386A0766|71 78|protein
P01398073A0986|71 77|rotein
P01398068A0948|71 77|rotein
P00725752T0001|71 76|eptor
P01375913A0484|71 75|gene
P01333317A1008|71 75|tein
P01333047A0404|71 75|ctor
P01464606A0344|71 75|cell
P00956554A0414|71 74|gen
P01261005A0711|71 74|nce
P00439618T0001|71 74|nin
P01375913A0484|71 74|gen
P01413984A0737|71 74|ter
P01078982A0227|71 74|pha
P01372900A1017|71 74|pha
P01284828T0001|71 74|rin
P01331086T0000|71 74|ene
P01467828A0542|71 74|ide
P01140184A0342|71 74|ase
P00557559A0170|71 74|e 1
P01370281A0461|71 74|ein
P01103390A0149|71 74|nce
P01327758A0000|71 74|ene
P01328854T0000|72 82|transcript
P00331936T0000|72 79|lobulin
P01347664A1026|72 79|protein
P01339373T0000|72 79|protein
P00105401A0635|72 79|hormone
P01376319T0000|72 78|ceptor
P01398104A0834|72 78|rotein
P01325386A0766|72 78|rotein
P01398073A0986|72 77|otein
P01398068A0948|72 77|otein
P00725752T0001|72 76|ptor
P01447189A1546|72 76|vity
P00139624A0318|72 75|min
P00601401A0181|72 75|gen
P00465223A0373|72 75|lta
P01333317A1008|72 75|ein
P01228882A0437|72 75|CSF
P01314953A1266|72 75|AP2
P01418542A0000|72 75|mia
P01375913A0484|72 75|ene
P01333047A0404|72 75|tor
P01374331A0636|73 84|nuclease S1
P01130186A0568|73 81|response
P01243628A0286|73 79|globin
P01347664A1026|73 79|rotein
P01339373T0000|73 79|rotein
P01376319T0000|73 78|eptor
P01398104A0834|73 78|otein
P01325386A0766|73 78|otein
P01398073A0986|73 77|tein
P01398068A0948|73 77|tein
P01420363A0818|73 76|AP1
P00827364A0000|73 76|ter
P00089778A0000|73 76|gen
P01464606A0344|73 76|lls
P00725752T0001|73 76|tor
P01429596A1669|73 76|tin
P00454780A0340|73 76|tan
P00803867A0315|73 76|can
P00159600A0871|73 76|nce
P00105401A0635|73 76|orm
P00416758T0001|73 76|tor
P00980255T0000|73 76|eta
P00715753A0241|74 82|activity
P01243628A0286|74 79|lobin
P01459885A0705|74 79|delta
P01339373T0000|74 79|otein
P00837811A0675|74 79|gamma
P01347664A1026|74 79|otein
P01376319T0000|74 78|ptor
P01398104A0834|74 78|tein
P00429949A0000|74 78|olog
P01325386A0766|74 78|tein
P00932817A0499|74 77|tor
P01186344A0303|74 77|tic
P01464329T0000|74 77|pha
P01425653T0000|74 77|gen
P00222102A0227|74 77|D-3
P01398068A0948|74 77|ein
P01378506A0884|74 77|ase
P01398073A0986|74 77|ein
P01321337A1161|74 77|tan
P01469047A1606|74 77|min
P00015731A0090|74 77|eta
P00839378A0649|75 84|esistance
P01140184A0342|75 83|activity
P01460054A0968|75 83|activity
P00911590T0000|75 81|tigmin
P01021091T0000|75 81|rabbit
P00577440A0298|75 81|-alpha
P01456888A0074|75 80|group
P01309894A0807|75 79|tide
P01473234A1001|75 79|form
P01339373T0000|75 79|tein
P01347664A1026|75 79|tein
P01376319T0000|75 78|tor
P01380062A0097|75 78|nit
P00473249T0000|75 78|nce
P01406630A0545|75 78|nce
P01429596A1669|75 78|nin
P01456888A0074|75 78|gro
P00843232A0100|75 78|ter
P01398104A0834|75 78|ein
P00429949A0000|75 78|log
P00986925A0002|75 78|rin
P00066874T0000|75 78|min
P00803867A0315|75 78|nce
P00464387A1185|75 78|ase
P01331501A0397|75 78|nce
P01379032A0495|75 78|ter
P01253191T0000|75 78|ial
P00962277T0000|75 78|min
P01078982A0227|75 78|ide
P01193458T0001|75 78|oll
P01310899A0339|75 78|ain
P00842406A0771|75 78|tor
P01325386A0766|75 78|ein
P01406703A1435|75 77|II
P01396592A1113|76 96|transcription factor
P01168956A0552|76 87|sensitivity
P01396592A1113|76 86|transcript
P00839378A0649|76 84|sistance
P00577440A0298|76 81|alpha
P00483716A0366|76 80|rter
P01400217T0000|76 80|traG
P01156814T0000|76 79|ase
P00048373A0377|76 79|nce
P01347664A1026|76 79|ein
P01339373T0000|76 79|ein
P01473234A1001|76 79|orm
P00970839A0118|76 79|ter
P01459885A0705|76 79|lta
P00837811A0675|76 79|mma
P01349837T0000|76 79|nin
P01296815A0059|76 79|nce
P00114144A0189|76 79|pha
P00827364A0000|76 79|ial
P01309860A0559|76 79|ide
P01309894A0807|76 79|ide
P01464329T0000|76 79|ase
P01406703A1435|76 78|IB
P01168956A0552|77 87|ensitivity
P01420363T0000|77 86|inhibitor
P00118044A0000|77 85|activity
P00839378A0649|77 84|istance
P00088391A0181|77 83|factor
P01360180A0513|77 83|kinase
P00420460A0291|77 82|renin
P00577440A0298|77 81|lpha
P00483716A0366|77 80|ter
P01454819A0000|77 80|nin
P00929418T0001|77 80|ide
P00196255A0000|77 80|nce
P01158838A0438|77 80|min
P01352113A0231|77 80|nce
P00465829T0000|77 80|ial
P00105903A0288|77 80|PEG
P01247475A0000|77 80|gro
P01347944A0964|77 80|nce
P01447189T0000|77 80|ule
P01420363T0000|78 86|nhibitor
P01320640A0336|78 86|glucagon
P01460772T0001|78 86|terferon
P00088391A0181|78 83|actor
P00038408T0000|78 83|alpha
P01360180A0513|78 83|inase
P00715753A0241|78 82|vity
P00911590T0000|78 81|min
P00577440A0298|78 81|pha
P01374331A0636|78 81|ase
P00101300A0257|78 81|oll
P01279352A0473|78 81|ain
P01460772T0001|78 81|ter
P00473249T0000|78 81|pha
P00464387A1185|79 87|activity
P00984209A0614|79 86|gastrin
P01429836A0457|79 86|protein
P01420363T0000|79 86|hibitor
P01460772T0001|79 86|erferon
P01409581A0206|79 85|factor
P00839378A0649|79 84|tance
P01140184A0342|79 83|vity
P01460054A0968|79 83|vity
P01310879A0000|79 83|rter
P01327967A0668|79 83|agen
P01360180A0513|79 83|nase
P00038408T0000|79 83|lpha
P00088391A0181|79 83|ctor
P00420460A0291|79 82|nin
P00506559A0000|79 82|ter
P00146327A0147|79 82|ide
P01275335A0158|79 82|pha
P01358758A0000|79 82|nce
P00910823A0196|79 82|ter
P01372900A1017|79 82|ase
P00839378A0649|79 82|tan
P01168956A0552|80 87|itivity
P01346534T0000|80 87|protein
P01460772T0001|80 86|rferon
P01423738A0639|80 86|rabbit
P01429836A0457|80 86|rotein
P01409581A0206|80 85|actor
P00665053A0276|80 85|group
P01384229A0175|80 84|tide
P01330077A0000|80 84|cell
P01329039A0239|80 84|tide
P01354506T0000|80 84|gene
P00494659A0391|80 83|din
P00088391A0181|80 83|tor
P01360180A0513|80 83|ase
P01327967A0668|80 83|gen
P00929418T0001|80 83|nce
P01372900A0448|80 83|min
P00665053A0276|80 83|gro
P01392277A0000|80 83|min
P01354506T0000|80 83|gen
P01310879A0000|80 83|ter
P00038408T0000|80 83|pha
P00799988A0554|80 83|nce
P00361340A0529|80 83|min
P00580151A0706|80 83|ter
P01396592A1113|81 96|cription factor
P00837811A0675|81 88|lobulin
P01208811T0001|81 87|system
P01346534T0000|81 87|rotein
P01429836A0457|81 86|otein
P01057137A0192|81 86|group
P00139827A0000|81 86|alpha
P01081904A0198|81 85|rter
P00118044A0000|81 85|vity
P01297332T0000|81 85|cell
P01409581A0206|81 85|ctor
P00557559A0170|81 84|ide
P00715180T0074|81 84|ide
P00129659T0000|81 84|nce
P01354506T0000|81 84|ene
P01281771T0000|81 84|ter
P00910823A0196|81 84|rin
P00928529T0001|81 84|ter
P00304240A0369|81 84|ase
P00839378A0649|81 84|nce
P00473249T0000|81 84|log
P01057137A0192|81 84|gro
P01329039A0239|81 84|ide
P01372900A1017|81 84|ein
P00183063A0300|81 84|tin
P01431809T0000|81 84|ter
P01275335A0158|81 84|ase
P01384229A0175|81 84|ide
P01358880A0251|82 93|glutaminase
P01348504A0757|82 89|istance
P01421390T0000|82 88|factor
P01346534T0000|82 87|otein
P00681571T0028|82 86|unit
P01429836A0457|82 86|tein
P00227393T0000|82 86|-450
P00139827A0000|82 86|lpha
P00240518A0000|82 85|sin
P00474064A0205|82 85|hid
P01409581A0206|82 85|tor
P00142718A0156|82 85|eta
P00146327A0147|82 85|nce
P01081904A0198|82 85|ter
P01285358A0396|82 85|ter
P00722298A0619|82 85|nce
P01328884T0000|82 85|nce
P00015731A0090|82 85|ide
P00420460A0291|83 91|activity
P00986925A0002|83 91|glucagon
P01228882A0437|83 90|lobulin
P01404612A0303|83 90|protein
P01313846A0850|83 90|lobulin
P01421390T0000|83 88|actor
P00465223A0373|83 88|delta
P00464387A1185|83 87|vity
P01168956A0552|83 87|vity
P01433502A1163|83 87|cell
P01346534T0000|83 87|tein
P00984209A0614|83 86|rin
P01406630A0965|83 86|din
P00846559A0000|83 86|ain
P00105401A0635|83 86|din
P00139827A0000|83 86|pha
P01116466A0185|83 86|rin
P01429740A1065|83 86|ain
P01168908A0000|83 86|ein
P01420363T0000|83 86|tor
P01358190A0654|83 86|nit
P01334518T0000|83 86|fic
P01377696A0000|83 86|gro
P00473229T0000|83 86|ene
P00842406A0771|83 86|din
P01429836A0457|83 86|ein
P00681571T0028|83 86|nit
P01191964A0000|83 86|ase
P01318310A0000|84 95|lipoprotein
P00377466A0188|84 93|prolactin
P01404612A0303|84 90|rotein
P00209664A0836|84 89|group
P00222102A0227|84 89|alpha
P01348504A0757|84 89|tance
P00361059T0000|84 88|beta
P01421390T0000|84 88|ctor
P00300314A0132|84 87|yte
P01354506T0000|84 87|tic
P00209664A0836|84 87|gro
P01346534T0000|84 87|ein
P00989973A0000|84 87|tin
P01425921A1286|84 87|sin
P00474064A0205|84 87|din
P00429949A0000|84 87|tan
P01414219A0319|84 87|nce
P01348504A0757|84 87|tan
P01396592A1113|85 96|tion factor
P01372900A1017|85 95|transcript
P00050628A0202|85 92|protein
P01404612A0303|85 90|otein
P00222102A0227|85 89|lpha
P00792847A0000|85 89|agen
P00383169A0000|85 89|agen
P01380454A0451|85 88|din
P01421390T0000|85 88|tor
P00465223A0373|85 88|lta
P00361059T0000|85 88|eta
P01378526A0535|85 88|nce
P01433502A1163|85 88|lls
P00154430A0906|86 96|transcript
P01341119A0450|86 95|inhibitor
P00956554A0414|86 94|activity
P01429836A1205|86 93|protein
P01386897A0000|86 92|kinase
P00050628A0202|86 92|rotein
P01404612A0303|86 90|tein
P01119658A0000|86 90|cell
P00836637A0000|86 89|nin
P01406630A0545|86 89|din
P00383169A0000|86 89|gen
P00792847A0000|86 89|gen
P00222102A0227|86 89|pha
P01348504A0757|86 89|nce
P01340470A0000|86 89|nit
P00227393T0000|87 100|monooxygenase
P01396592A1113|87 96|on factor
P01318310A0000|87 95|oprotein
P01341119A0450|87 95|nhibitor
P00088391A0181|87 94|antigen
P01358880A0251|87 93|minase
P01429836A1205|87 93|rotein
P01386897A0000|87 92|inase
P00050628A0202|87 92|otein
P00304806A0760|87 92|group
P00420460A0291|87 91|vity
P01019207A0232|87 91|beta
P01358880A0251|87 90|min
P00118044A0000|87 90|ter
P00142718A0156|87 90|ase
P00722652A0118|87 90|ter
P00970839A0118|87 90|din
P01309910A0428|87 90|REB
P00304806A0760|87 90|gro
P01324406A1250|87 90|ain
P01404612A0303|87 90|ein
P01347908T0000|87 90|ase
P01406703A1435|88 104|hormone receptor
P01333035T0000|88 102|RNA polymerase
P01357190A0726|88 100|glycoprotein
P01318310A0000|88 95|protein
P01357528A0084|88 95|subunit
P01341119A0450|88 95|hibitor
P01406703A1435|88 95|hormone
P00088391A0181|88 94|ntigen
P01128985A0000|88 94|period
P01358880A0251|88 93|inase
P01429836A1205|88 93|otein
P01386897A0000|88 92|nase
P00050628A0202|88 92|tein
P01339468A0272|88 91|ase
P00821833A0000|88 91|lia
P01047895T0001|88 91|tic
P01050144A0297|88 91|tic
P00524451A0136|88 91|eta
P01019207A0232|88 91|eta
P01413984A0737|88 91|ter
P00361340A0529|88 91|fic
P01357190A0726|89 100|lycoprotein
P01318310A0000|89 95|rotein
P01357528A0084|89 95|ubunit
P01101272T0000|89 94|lamin
P00088391A0181|89 94|tigen
P01358880A0251|89 93|nase
P01429836A1205|89 93|tein
P00377466A0188|89 93|ctin
P01348508A0313|89 93|gene
P00984209A0614|89 92|nce
P01348508A0313|89 92|gen
P01386897A0000|89 92|ase
P01278251A0000|89 92|ter
P00962222A0633|89 92|yte
P01298398A0461|89 92|pha
P01469047A1606|89 92|nce
P01347664A1026|89 92|tan
P01406703A1435|89 92|orm
P00050628A0202|89 92|ein
P01371272A1167|90 110|DNA polymerase alpha
P01371272A1167|90 104|DNA polymerase
P00227393T0000|90 100|ooxygenase
P01357190A0726|90 100|ycoprotein
P01327758A0000|90 99|1 protein
P01380454A0451|90 98|activity
P01388160A1102|90 97|peptide
P01446828A1088|90 97|protein
P01398098A0770|90 97|peptide
P01371272A1167|90 97|DNA pol
P01396592A1113|90 96|factor
P01241866A0682|90 96|rabbit
P01318310A0000|90 95|otein
P01357528A0084|90 95|bunit
P00956554A0414|90 94|vity
P01349837T0000|90 94|gene
P00088391A0181|90 94|igen
P01316476A1428|90 94|gene
P01358880A0251|90 93|ase
P01316476A1428|90 93|gen
P01378052A0594|90 93|CAC
P01363080A0710|90 93|ide
P01429836A1205|90 93|ein
P01348508A0313|90 93|ene
P01349837T0000|90 93|gen
P00122718A0500|90 93|ase
P01400401A0065|90 93|yte
P00060529A0695|90 93|ter
P01429836A0457|90 93|tin
P00377466A0188|90 93|tin
P00239014A0000|90 92|IB
P01358190A0654|91 102|alpha chain
P00227393T0000|91 100|oxygenase
P01357190A0726|91 100|coprotein
P01244236A1122|91 100|esistance
P00970488A0105|91 99|receptor
P01388160A1102|91 97|eptide
P00429893A0000|91 97|system
P01446828A1088|91 97|rotein
P00473249T0000|91 97|rabbit
P01398098A0770|91 97|eptide
P00513284A0000|91 97|cyclin
P01396592A1113|91 96|actor
P01358190A0654|91 96|alpha
P01313846A0850|91 95|gene
P01357528A0084|91 95|unit
P01318310A0000|91 95|tein
P01313846A0850|91 94|gen
P00524451A0136|91 94|min
P01130531A0224|91 94|ase
P00926751A0000|91 94|tan
P01349837T0000|91 94|ene
P00736376A0371|91 94|gen
P00261981A0434|91 94|ter
P01298398A0461|91 94|ase
P00088391A0181|91 94|gen
P01316476A1428|91 94|ene
P00808898A0000|91 94|PRF
P01101272T0000|91 94|min
P00464387A1185|91 94|ABP
P01420363T0000|91 94|eta
P00725534A0888|91 94|yte
P00216939T0001|91 94|ain
P01420363T0000|92 107|talloproteinase
P01406703A1435|92 104|one receptor
P01333035T0000|92 102|polymerase
P00857024A0888|92 101|properdin
P01357190A0726|92 100|oprotein
P01244236A1122|92 100|sistance
P01309910A0428|92 99|protein
P01330309A1134|92 99|protein
P00970488A0105|92 99|eceptor
P01327758A0000|92 99|protein
P01388160A1102|92 97|ptide
P01446828A1088|92 97|otein
P01398098A0770|92 97|ptide
P01396592A1113|92 96|ctor
P01454518A0336|92 96|gene
P01358190A0654|92 96|lpha
P01313846A0850|92 95|ene
P01326557T0000|92 95|tin
P01398074A0697|92 95|ase
P00952734T0000|92 95|cut
P01078982A0227|92 95|yte
P01357528A0084|92 95|nit
P01278251A0000|92 95|ial
P01419945A1386|92 95|ter
P01318310A0000|92 95|ein
P01341119A0450|92 95|tor
P00385457A0187|92 95|nce
P01454518A0336|92 95|gen
P01389585A0825|92 95|tin
P00877857A0763|92 95|ter
P01420363T0000|93 107|alloproteinase
P01454819A0000|93 104|transferase
P01406703A1435|93 104|ne receptor
P01313894A1179|93 103|transcript
P01358190A0654|93 102|pha chain
P00227393T0000|93 100|ygenase
P01357190A0726|93 100|protein
P01402647A0114|93 100|peptide
P01244236A1122|93 100|istance
P01309910A0428|93 99|rotein
P01325221A0870|93 99|kinase
P00970488A0105|93 99|ceptor
P01327758A0000|93 99|rotein
P01330309A1134|93 99|rotein
P00618078A0367|93 98|menin
P01315706A0000|93 97|cell
P01388160A1102|93 97|tide
P01446828A1088|93 97|tein
P01316903A0296|93 97|form
P01398098A0770|93 97|tide
P01469047A1606|93 96|ide
P01130186A0568|93 96|ide
P01454518A0336|93 96|ene
P01358190A0654|93 96|pha
P01324385A0329|93 96|nce
P01396592A1113|93 96|tor
P01387105A0933|93 96|ain
P01454819A0000|94 104|ransferase
P01406703A1435|94 104|e receptor
P01371272A1167|94 104|polymerase
P01339373T0000|94 103|1 protein
P01398071A0526|94 102|activity
P01358190A0654|94 102|ha chain
P00227393T0000|94 100|genase
P01327280A0000|94 100|dorsal
P01357190A0726|94 100|rotein
P01402647A0114|94 100|eptide
P01309910A0428|94 99|otein
P01379032A0495|94 99|group
P01330309A1134|94 99|otein
P01327758A0000|94 99|otein
P01325221A0870|94 99|inase
P00970488A0105|94 99|eptor
P01380454A0451|94 98|vity
P01339468A0272|94 98|ORF2
P01321280A0494|94 98|cell
P00227393T0000|94 97|gen
P01388160A1102|94 97|ide
P01407286A0427|94 97|ain
P00369683T0000|94 97|can
P01119658A0000|94 97|cin
P01379032A0495|94 97|gro
P01446828A1088|94 97|ein
P00799988A0554|94 97|min
P01399206A0375|94 97|ter
P01316903A0296|94 97|orm
P01324406A1250|94 97|nce
P00521732T0000|94 97|ter
P00172199A0270|94 97|nce
P01398098A0770|94 97|ide
P01449183A0795|94 97|tor
P01377818A0468|95 106|C/EBP alpha
P01454819A0000|95 104|ansferase
P00872922A0204|95 103|activity
P01456888A0074|95 102|antigen
P01358190A0654|95 102|a chain
P01310935T0000|95 102|protein
P00155973A0387|95 101|system
P00227393T0000|95 100|enase
P01244236A1122|95 100|tance
P01402647A0114|95 100|ptide
P01357190A0726|95 100|otein
P00985279A0493|95 100|group
P01309910A0428|95 99|tein
P01325221A0870|95 99|nase
P01327758A0000|95 99|tein
P00437749A0242|95 99|olog
P01330309A1134|95 99|tein
P00970488A0105|95 99|ptor
P00759049A0185|95 98|gen
P00618078A0367|95 98|nin
P00196255A0000|95 98|mis
P00903772A0359|95 98|mia
P01374398A0951|95 98|min
P00985279A0493|95 98|gro
P01373374A0735|95 98|din
P00100540T0000|95 98|rin
P00473229T0000|95 98|ene
P01244236A1122|95 98|tan
P01396572A0320|95 98|C19
P01157191A0536|95 98|cin
P01339373T0000|96 110|protein kinase
P01406703A1435|96 104|receptor
P01420363T0000|96 104|oprotein
P01357528A0084|96 103|protein
P01339373T0000|96 103|protein
P01456888A0074|96 102|ntigen
P01157191A0536|96 102|inogen
P01310935T0000|96 102|rotein
P00227393T0000|96 100|nase
P01357190A0726|96 100|tein
P01402647A0114|96 100|tide
P00055040A0000|96 99|nce
P01325221A0870|96 99|ase
P00663166A0000|96 99|tic
P00437749A0242|96 99|log
P01190120A0832|96 99|tor
P00970488A0105|96 99|tor
P01314953A1266|96 99|ain
P01330309A1134|96 99|ein
P01327758A0000|96 99|ein
P00803867A0315|96 99|can
P00089778A0000|96 99|rin
P01309910A0428|96 99|ein
P01087288T0000|96 99|din
P00369683T0000|96 99|nce
P01321280A0494|96 99|lls
P01331057A0000|97 109|cytochrome c
P01078982A0227|97 104|lobulin
P01420363T0000|97 104|protein
P01406703A1435|97 104|eceptor
P01396592A1113|97 103|GATA-1
P01339373T0000|97 103|rotein
P01435698A0000|97 103|cyclin
P00089778A0000|97 103|inogen
P01357528A0084|97 103|rotein
P01333035T0000|97 102|erase
P01358190A0654|97 102|chain
P01456888A0074|97 102|tigen
P01310935T0000|97 102|otein
P00227393T0000|97 100|ase
P01320255A0795|97 100|nce
P01402647A0114|97 100|ide
P01409643A0618|97 100|fic
P01357190A0726|97 100|ein
P00137671A0896|97 100|tor
P01350932A1123|97 100|n-C
P00336354A0543|97 100|mia
P01244236A1122|97 100|nce
P01285009A0000|97 100|nce
P01429836A1205|97 100|tin
P00755869A0216|97 100|nce
P00015731A0090|97 100|ide
P01406703A1435|98 104|ceptor
P01420363T0000|98 104|rotein
P01357528A0084|98 103|otein
P01339373T0000|98 103|otein
P01333035T0000|98 102|rase
P01297332A0983|98 102|gene
P01310935T0000|98 102|tein
P01456888A0074|98 102|igen
P01399206A0375|98 102|form
P01398071A0526|98 102|vity
